Disease,Category,Symptoms,CommonAgeGroup,Sex,Severity,Specialist,SyntheticTreatment
Heart Attack,Emergency Care,"Nausea, Sweating, Chest pain, Shortness of breath",Child,Female,Mild,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Flu,Common Illnesses,"Body aches, Cough, Fever",Elderly,Any,Severe,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Flu,Common Illnesses,"Sore throat, Chills, Body aches, Fever",Teen,Any,Mild,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Tuberculosis,Rare Diseases,"Fatigue, Night sweats, Cough",Adult,Any,Severe,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Asthma,Chronic Illness,"Chest tightness, Cough",Adult,Any,Moderate,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Flu,Common Illnesses,"Cough, Chills, Body aches",Adult,Male,Mild,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Tuberculosis,Rare Diseases,"Cough, Night sweats, Fatigue",Teen,Male,Moderate,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Diabetes,Chronic Illness,"Blurred vision, Fatigue, Increased thirst",Adult,Male,Mild,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Appendicitis,Surgical Conditions,"Loss of appetite, Nausea, Vomiting",Teen,Female,Mild,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
PCOS,Chronic Disorder,"Hair thinning, Weight gain, Acne",Child,Any,Moderate,Gynecologist,"Hormonal therapy, dietary management, and long-term follow-up. Stronger prescription drugs may be necessary. Hormonal evaluations and reproductive health tracking suggested"
Tuberculosis,Rare Diseases,"Cough, Fatigue, Night sweats",Child,Any,Mild,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Tuberculosis,Rare Diseases,"Weight loss, Night sweats, Cough, Fatigue",Child,Male,Mild,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Heart Attack,Emergency Care,"Sweating, Nausea, Chest pain",Child,Male,Mild,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Stroke,Specialized Chronic Diseases,"Trouble walking, Numbness",Elderly,Female,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Heart Attack,Emergency Care,"Nausea, Sweating",Teen,Any,Mild,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Flu,Common Illnesses,"Cough, Sore throat, Chills, Fever",Adult,Any,Moderate,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Alzheimer’s,Specialized Chronic Diseases,"Mood swings, Confusion",Elderly,Male,Severe,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Stroke,Specialized Chronic Diseases,"Numbness, Trouble walking, Confusion",Teen,Female,Severe,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Tuberculosis,Rare Diseases,"Fatigue, Night sweats",Child,Any,Mild,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Flu,Common Illnesses,"Cough, Chills, Body aches",Teen,Male,Moderate,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Flu,Common Illnesses,"Cough, Chills",Elderly,Any,Severe,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Stroke,Specialized Chronic Diseases,"Vision problems, Trouble walking, Confusion, Numbness",Teen,Male,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Appendicitis,Surgical Conditions,"Loss of appetite, Vomiting, Nausea",Elderly,Male,Severe,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Flu,Common Illnesses,"Body aches, Chills, Fever",Adult,Any,Moderate,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Heart Attack,Emergency Care,"Shortness of breath, Chest pain",Elderly,Any,Moderate,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Asthma,Chronic Illness,"Wheezing, Shortness of breath, Cough",Elderly,Male,Severe,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Alzheimer’s,Specialized Chronic Diseases,"Mood swings, Confusion, Poor judgment, Memory loss",Child,Female,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Stroke,Specialized Chronic Diseases,"Trouble walking, Vision problems",Adult,Male,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Diabetes,Chronic Illness,"Blurred vision, Increased thirst",Teen,Female,Severe,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Flu,Common Illnesses,"Sore throat, Body aches, Chills",Child,Female,Moderate,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Stroke,Specialized Chronic Diseases,"Confusion, Vision problems, Trouble walking",Elderly,Female,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Eczema,Dermatological,"Itchy skin, Swelling",Elderly,Male,Severe,Dermatologist,Consultation and standard treatment protocols
Stroke,Specialized Chronic Diseases,"Trouble walking, Confusion, Numbness",Child,Male,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Flu,Common Illnesses,"Body aches, Cough",Teen,Any,Mild,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
PCOS,Chronic Disorder,"Weight gain, Irregular periods",Teen,Male,Moderate,Gynecologist,"Hormonal therapy, dietary management, and long-term follow-up. Stronger prescription drugs may be necessary. Hormonal evaluations and reproductive health tracking suggested"
PCOS,Chronic Disorder,"Weight gain, Hair thinning",Child,Male,Moderate,Gynecologist,"Hormonal therapy, dietary management, and long-term follow-up. Stronger prescription drugs may be necessary. Hormonal evaluations and reproductive health tracking suggested"
Asthma,Chronic Illness,"Chest tightness, Cough, Wheezing",Adult,Male,Severe,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Appendicitis,Surgical Conditions,"Loss of appetite, Vomiting, Abdominal pain, Nausea",Adult,Female,Moderate,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Tuberculosis,Rare Diseases,"Night sweats, Weight loss, Fatigue, Cough",Adult,Male,Moderate,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Alzheimer’s,Specialized Chronic Diseases,"Poor judgment, Mood swings",Elderly,Any,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Heart Attack,Emergency Care,"Nausea, Chest pain",Teen,Any,Severe,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Flu,Common Illnesses,"Fever, Chills, Sore throat, Cough",Teen,Female,Moderate,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Alzheimer’s,Specialized Chronic Diseases,"Poor judgment, Mood swings",Teen,Male,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Stroke,Specialized Chronic Diseases,"Trouble walking, Confusion",Child,Any,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Flu,Common Illnesses,"Cough, Fever, Body aches",Adult,Female,Mild,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Stroke,Specialized Chronic Diseases,"Trouble walking, Vision problems",Elderly,Female,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Eczema,Dermatological,"Swelling, Dryness, Itchy skin, Red patches",Teen,Male,Severe,Dermatologist,Consultation and standard treatment protocols
Flu,Common Illnesses,"Sore throat, Body aches, Fever",Adult,Any,Mild,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Appendicitis,Surgical Conditions,"Vomiting, Nausea, Loss of appetite, Abdominal pain",Elderly,Any,Moderate,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Heart Attack,Emergency Care,"Nausea, Sweating, Shortness of breath, Chest pain",Teen,Female,Severe,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Heart Attack,Emergency Care,"Nausea, Sweating",Child,Female,Mild,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Appendicitis,Surgical Conditions,"Vomiting, Abdominal pain, Nausea",Elderly,Male,Mild,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
PCOS,Chronic Disorder,"Acne, Weight gain, Hair thinning, Irregular periods",Adult,Any,Severe,Gynecologist,"Hormonal therapy, dietary management, and long-term follow-up. Stronger prescription drugs may be necessary. Hormonal evaluations and reproductive health tracking suggested"
Diabetes,Chronic Illness,"Blurred vision, Increased thirst, Fatigue, Frequent urination",Elderly,Female,Moderate,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Heart Attack,Emergency Care,"Nausea, Sweating, Chest pain",Adult,Male,Mild,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Stroke,Specialized Chronic Diseases,"Trouble walking, Numbness",Child,Female,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Asthma,Chronic Illness,"Shortness of breath, Cough, Wheezing",Elderly,Female,Moderate,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Tuberculosis,Rare Diseases,"Cough, Weight loss, Fatigue, Night sweats",Child,Female,Moderate,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Flu,Common Illnesses,"Cough, Sore throat, Chills, Body aches",Teen,Female,Moderate,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Tuberculosis,Rare Diseases,"Fatigue, Cough, Weight loss",Adult,Female,Mild,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Tuberculosis,Rare Diseases,"Weight loss, Night sweats",Elderly,Female,Moderate,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Appendicitis,Surgical Conditions,"Nausea, Abdominal pain",Teen,Female,Severe,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Asthma,Chronic Illness,"Shortness of breath, Wheezing, Chest tightness, Cough",Adult,Any,Severe,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Eczema,Dermatological,"Itchy skin, Swelling",Elderly,Male,Moderate,Dermatologist,Consultation and standard treatment protocols
Flu,Common Illnesses,"Body aches, Fever, Cough",Elderly,Female,Moderate,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Eczema,Dermatological,"Dryness, Swelling, Red patches",Teen,Male,Moderate,Dermatologist,Consultation and standard treatment protocols
Asthma,Chronic Illness,"Wheezing, Chest tightness",Elderly,Male,Mild,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Heart Attack,Emergency Care,"Chest pain, Shortness of breath, Nausea",Adult,Female,Severe,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Diabetes,Chronic Illness,"Blurred vision, Fatigue, Frequent urination, Increased thirst",Elderly,Male,Severe,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Stroke,Specialized Chronic Diseases,"Trouble walking, Vision problems, Confusion",Teen,Any,Severe,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Alzheimer’s,Specialized Chronic Diseases,"Mood swings, Memory loss, Poor judgment, Confusion",Teen,Male,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Stroke,Specialized Chronic Diseases,"Confusion, Numbness, Trouble walking, Vision problems",Elderly,Any,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Tuberculosis,Rare Diseases,"Cough, Weight loss, Fatigue, Night sweats",Adult,Female,Severe,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Appendicitis,Surgical Conditions,"Vomiting, Nausea",Elderly,Male,Severe,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Asthma,Chronic Illness,"Shortness of breath, Cough",Adult,Male,Mild,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Heart Attack,Emergency Care,"Nausea, Shortness of breath",Child,Any,Severe,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Heart Attack,Emergency Care,"Shortness of breath, Nausea, Sweating",Child,Any,Moderate,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Appendicitis,Surgical Conditions,"Loss of appetite, Abdominal pain",Teen,Male,Moderate,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Asthma,Chronic Illness,"Shortness of breath, Wheezing, Cough",Adult,Female,Severe,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Eczema,Dermatological,"Dryness, Red patches",Elderly,Male,Mild,Dermatologist,Consultation and standard treatment protocols
Stroke,Specialized Chronic Diseases,"Numbness, Trouble walking",Elderly,Male,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Asthma,Chronic Illness,"Chest tightness, Cough, Shortness of breath, Wheezing",Adult,Female,Moderate,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Diabetes,Chronic Illness,"Frequent urination, Increased thirst, Blurred vision, Fatigue",Teen,Any,Mild,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Tuberculosis,Rare Diseases,"Night sweats, Weight loss, Fatigue",Teen,Female,Moderate,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Appendicitis,Surgical Conditions,"Nausea, Vomiting",Teen,Any,Moderate,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Stroke,Specialized Chronic Diseases,"Numbness, Trouble walking, Confusion, Vision problems",Child,Any,Mild,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
PCOS,Chronic Disorder,"Hair thinning, Irregular periods, Weight gain, Acne",Teen,Any,Moderate,Gynecologist,"Hormonal therapy, dietary management, and long-term follow-up. Stronger prescription drugs may be necessary. Hormonal evaluations and reproductive health tracking suggested"
Appendicitis,Surgical Conditions,"Abdominal pain, Loss of appetite",Child,Any,Moderate,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Eczema,Dermatological,"Swelling, Red patches, Itchy skin, Dryness",Child,Male,Moderate,Dermatologist,Consultation and standard treatment protocols
Diabetes,Chronic Illness,"Increased thirst, Fatigue, Blurred vision",Child,Female,Severe,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Stroke,Specialized Chronic Diseases,"Confusion, Trouble walking, Numbness",Child,Any,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Stroke,Specialized Chronic Diseases,"Vision problems, Numbness, Trouble walking, Confusion",Adult,Any,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Heart Attack,Emergency Care,"Nausea, Shortness of breath, Chest pain",Elderly,Female,Moderate,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Appendicitis,Surgical Conditions,"Loss of appetite, Abdominal pain",Child,Any,Moderate,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Diabetes,Chronic Illness,"Blurred vision, Fatigue",Child,Female,Moderate,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Tuberculosis,Rare Diseases,"Night sweats, Cough, Fatigue, Weight loss",Adult,Female,Moderate,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Heart Attack,Emergency Care,"Sweating, Shortness of breath, Nausea, Chest pain",Elderly,Any,Severe,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Asthma,Chronic Illness,"Chest tightness, Cough, Wheezing, Shortness of breath",Elderly,Male,Moderate,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Flu,Common Illnesses,"Cough, Sore throat, Body aches, Chills",Teen,Female,Severe,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Stroke,Specialized Chronic Diseases,"Trouble walking, Numbness, Vision problems, Confusion",Teen,Any,Mild,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Tuberculosis,Rare Diseases,"Fatigue, Cough",Child,Male,Severe,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Heart Attack,Emergency Care,"Chest pain, Nausea, Shortness of breath, Sweating",Elderly,Any,Severe,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Eczema,Dermatological,"Itchy skin, Dryness, Red patches, Swelling",Adult,Any,Severe,Dermatologist,Consultation and standard treatment protocols
Appendicitis,Surgical Conditions,"Loss of appetite, Abdominal pain, Vomiting, Nausea",Elderly,Female,Moderate,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Alzheimer’s,Specialized Chronic Diseases,"Memory loss, Poor judgment, Mood swings",Adult,Any,Mild,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
PCOS,Chronic Disorder,"Acne, Irregular periods",Teen,Male,Mild,Gynecologist,"Hormonal therapy, dietary management, and long-term follow-up. Stronger prescription drugs may be necessary. Hormonal evaluations and reproductive health tracking suggested"
Appendicitis,Surgical Conditions,"Vomiting, Loss of appetite, Nausea",Adult,Male,Moderate,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Tuberculosis,Rare Diseases,"Fatigue, Weight loss, Night sweats",Child,Male,Severe,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
PCOS,Chronic Disorder,"Weight gain, Acne, Hair thinning, Irregular periods",Child,Female,Severe,Gynecologist,"Hormonal therapy, dietary management, and long-term follow-up. Stronger prescription drugs may be necessary. Hormonal evaluations and reproductive health tracking suggested"
Alzheimer’s,Specialized Chronic Diseases,"Poor judgment, Mood swings",Elderly,Female,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Eczema,Dermatological,"Itchy skin, Swelling, Red patches",Elderly,Male,Moderate,Dermatologist,Consultation and standard treatment protocols
Flu,Common Illnesses,"Body aches, Chills, Fever",Adult,Any,Mild,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Stroke,Specialized Chronic Diseases,"Numbness, Trouble walking",Teen,Any,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Stroke,Specialized Chronic Diseases,"Trouble walking, Vision problems, Numbness",Child,Any,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Eczema,Dermatological,"Dryness, Swelling, Red patches, Itchy skin",Teen,Male,Severe,Dermatologist,Consultation and standard treatment protocols
Flu,Common Illnesses,"Sore throat, Fever, Chills",Teen,Male,Moderate,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Eczema,Dermatological,"Red patches, Itchy skin, Swelling",Adult,Male,Severe,Dermatologist,Consultation and standard treatment protocols
Asthma,Chronic Illness,"Chest tightness, Shortness of breath, Cough, Wheezing",Child,Male,Severe,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Eczema,Dermatological,"Red patches, Dryness, Itchy skin, Swelling",Elderly,Any,Moderate,Dermatologist,Consultation and standard treatment protocols
Diabetes,Chronic Illness,"Blurred vision, Increased thirst, Frequent urination",Adult,Female,Moderate,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Eczema,Dermatological,"Swelling, Red patches",Elderly,Any,Moderate,Dermatologist,Consultation and standard treatment protocols
Eczema,Dermatological,"Itchy skin, Dryness, Red patches",Teen,Any,Moderate,Dermatologist,Consultation and standard treatment protocols
Flu,Common Illnesses,"Fever, Chills, Sore throat, Cough",Teen,Female,Severe,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Tuberculosis,Rare Diseases,"Cough, Night sweats",Child,Any,Mild,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Flu,Common Illnesses,"Cough, Body aches, Sore throat",Child,Male,Severe,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Asthma,Chronic Illness,"Cough, Wheezing, Chest tightness",Adult,Male,Severe,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Stroke,Specialized Chronic Diseases,"Numbness, Confusion, Trouble walking, Vision problems",Adult,Any,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Eczema,Dermatological,"Red patches, Itchy skin",Teen,Any,Moderate,Dermatologist,Consultation and standard treatment protocols
Eczema,Dermatological,"Swelling, Dryness",Teen,Female,Mild,Dermatologist,Consultation and standard treatment protocols
Asthma,Chronic Illness,"Chest tightness, Shortness of breath, Wheezing",Teen,Any,Moderate,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Heart Attack,Emergency Care,"Sweating, Nausea, Chest pain",Child,Any,Moderate,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Heart Attack,Emergency Care,"Shortness of breath, Chest pain",Child,Male,Moderate,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Flu,Common Illnesses,"Cough, Sore throat",Teen,Male,Moderate,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
PCOS,Chronic Disorder,"Acne, Irregular periods, Hair thinning",Elderly,Male,Moderate,Gynecologist,"Hormonal therapy, dietary management, and long-term follow-up. Stronger prescription drugs may be necessary. Hormonal evaluations and reproductive health tracking suggested"
Heart Attack,Emergency Care,"Sweating, Nausea, Shortness of breath, Chest pain",Child,Any,Moderate,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Stroke,Specialized Chronic Diseases,"Numbness, Trouble walking, Vision problems, Confusion",Elderly,Male,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Asthma,Chronic Illness,"Cough, Wheezing",Child,Female,Moderate,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Eczema,Dermatological,"Dryness, Red patches",Teen,Female,Mild,Dermatologist,Consultation and standard treatment protocols
Flu,Common Illnesses,"Chills, Body aches, Sore throat",Adult,Female,Mild,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Alzheimer’s,Specialized Chronic Diseases,"Mood swings, Memory loss, Confusion",Teen,Any,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Flu,Common Illnesses,"Sore throat, Chills",Teen,Female,Moderate,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Alzheimer’s,Specialized Chronic Diseases,"Confusion, Memory loss, Mood swings, Poor judgment",Adult,Male,Severe,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Eczema,Dermatological,"Swelling, Dryness, Red patches",Child,Female,Severe,Dermatologist,Consultation and standard treatment protocols
Heart Attack,Emergency Care,"Sweating, Nausea, Shortness of breath",Adult,Any,Mild,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Diabetes,Chronic Illness,"Blurred vision, Increased thirst",Elderly,Male,Moderate,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Stroke,Specialized Chronic Diseases,"Confusion, Vision problems, Numbness",Adult,Female,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Tuberculosis,Rare Diseases,"Fatigue, Weight loss",Teen,Male,Severe,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
PCOS,Chronic Disorder,"Weight gain, Irregular periods",Elderly,Male,Severe,Gynecologist,"Hormonal therapy, dietary management, and long-term follow-up. Stronger prescription drugs may be necessary. Hormonal evaluations and reproductive health tracking suggested"
Asthma,Chronic Illness,"Wheezing, Chest tightness",Elderly,Any,Moderate,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Diabetes,Chronic Illness,"Increased thirst, Fatigue, Frequent urination, Blurred vision",Elderly,Any,Severe,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Asthma,Chronic Illness,"Cough, Wheezing",Elderly,Female,Mild,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Eczema,Dermatological,"Swelling, Red patches",Teen,Female,Moderate,Dermatologist,Consultation and standard treatment protocols
Eczema,Dermatological,"Red patches, Itchy skin",Elderly,Female,Severe,Dermatologist,Consultation and standard treatment protocols
Tuberculosis,Rare Diseases,"Weight loss, Cough, Night sweats",Child,Male,Moderate,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Appendicitis,Surgical Conditions,"Vomiting, Nausea, Loss of appetite, Abdominal pain",Elderly,Female,Moderate,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Asthma,Chronic Illness,"Chest tightness, Wheezing, Shortness of breath",Adult,Male,Mild,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Asthma,Chronic Illness,"Shortness of breath, Cough, Chest tightness, Wheezing",Adult,Male,Severe,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Appendicitis,Surgical Conditions,"Nausea, Loss of appetite, Vomiting",Child,Male,Moderate,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Flu,Common Illnesses,"Chills, Sore throat, Body aches, Cough",Adult,Any,Mild,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Asthma,Chronic Illness,"Cough, Wheezing",Adult,Any,Mild,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Appendicitis,Surgical Conditions,"Nausea, Vomiting, Loss of appetite, Abdominal pain",Teen,Female,Moderate,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
