Disease,Category,Symptoms,CommonAgeGroup,Sex,Severity,Specialist
PCOS,Chronic Disorder,"Hair thinning, Acne, Weight gain",Elderly,Female,Severe,Gynecologist
Flu,Common Illnesses,"Sore throat, Fever, Chills, Body aches",Elderly,Male,Severe,General Physician
Eczema,Dermatological,"Swelling, Itchy skin, Dryness, Red patches",Adult,Female,Mild,Dermatologist
Stroke,Specialized Chronic Diseases,"Vision problems, Numbness, Trouble walking, Confusion",Child,Female,Severe,Neurologist
Flu,Common Illnesses,"Chills, Fever, Sore throat",Child,Male,Severe,General Physician
Eczema,Dermatological,"Dryness, Red patches",Teen,Male,Moderate,Dermatologist
PCOS,Chronic Disorder,"Acne, Hair thinning, Weight gain",Teen,Any,Moderate,Gynecologist
Flu,Common Illnesses,"Sore throat, Cough, Chills",Elderly,Any,Moderate,General Physician
Eczema,Dermatological,"Red patches, Swelling, Dryness, Itchy skin",Elderly,Male,Mild,Dermatologist
Tuberculosis,Rare Diseases,"Weight loss, Night sweats",Elderly,Male,Mild,Infectious Disease Specialist
PCOS,Chronic Disorder,"Acne, Weight gain",Teen,Any,Moderate,Gynecologist
Appendicitis,Surgical Conditions,"Nausea, Abdominal pain",Child,Female,Mild,Surgeon
Alzheimer’s,Specialized Chronic Diseases,"Mood swings, Poor judgment",Elderly,Female,Moderate,Neurologist
Stroke,Specialized Chronic Diseases,"Numbness, Trouble walking, Vision problems",Adult,Male,Severe,Neurologist
Stroke,Specialized Chronic Diseases,"Trouble walking, Vision problems, Numbness",Teen,Male,Mild,Neurologist
PCOS,Chronic Disorder,"Irregular periods, Acne",Elderly,Any,Moderate,Gynecologist
Diabetes,Chronic Illness,"Blurred vision, Increased thirst, Frequent urination, Fatigue",Elderly,Female,Moderate,Endocrinologist
Alzheimer’s,Specialized Chronic Diseases,"Memory loss, Mood swings, Poor judgment, Confusion",Elderly,Female,Mild,Neurologist
Eczema,Dermatological,"Itchy skin, Dryness, Red patches",Elderly,Any,Mild,Dermatologist
Asthma,Chronic Illness,"Chest tightness, Wheezing",Child,Female,Mild,Pulmonologist
Eczema,Dermatological,"Dryness, Itchy skin, Swelling",Elderly,Any,Moderate,Dermatologist
Stroke,Specialized Chronic Diseases,"Vision problems, Trouble walking, Confusion, Numbness",Elderly,Female,Moderate,Neurologist
Appendicitis,Surgical Conditions,"Abdominal pain, Nausea",Child,Any,Moderate,Surgeon
Alzheimer’s,Specialized Chronic Diseases,"Mood swings, Memory loss, Confusion, Poor judgment",Elderly,Male,Moderate,Neurologist
Diabetes,Chronic Illness,"Blurred vision, Increased thirst, Frequent urination, Fatigue",Elderly,Female,Severe,Endocrinologist
Heart Attack,Emergency Care,"Chest pain, Nausea, Shortness of breath",Elderly,Female,Moderate,Cardiologist
Heart Attack,Emergency Care,"Nausea, Shortness of breath",Teen,Female,Mild,Cardiologist
PCOS,Chronic Disorder,"Weight gain, Irregular periods, Hair thinning",Adult,Female,Severe,Gynecologist
Stroke,Specialized Chronic Diseases,"Trouble walking, Vision problems, Confusion, Numbness",Elderly,Male,Moderate,Neurologist
Flu,Common Illnesses,"Sore throat, Body aches, Cough",Teen,Male,Moderate,General Physician
Asthma,Chronic Illness,"Shortness of breath, Cough, Wheezing, Chest tightness",Child,Female,Moderate,Pulmonologist
Stroke,Specialized Chronic Diseases,"Confusion, Numbness, Trouble walking, Vision problems",Adult,Any,Moderate,Neurologist
Flu,Common Illnesses,"Body aches, Fever, Cough, Sore throat",Child,Any,Mild,General Physician
Tuberculosis,Rare Diseases,"Fatigue, Weight loss, Night sweats",Teen,Male,Moderate,Infectious Disease Specialist
Stroke,Specialized Chronic Diseases,"Trouble walking, Confusion",Adult,Female,Severe,Neurologist
Flu,Common Illnesses,"Body aches, Cough, Fever, Sore throat",Elderly,Male,Moderate,General Physician
Heart Attack,Emergency Care,"Shortness of breath, Sweating, Chest pain, Nausea",Child,Any,Moderate,Cardiologist
Diabetes,Chronic Illness,"Fatigue, Frequent urination, Blurred vision, Increased thirst",Teen,Male,Mild,Endocrinologist
Alzheimer’s,Specialized Chronic Diseases,"Poor judgment, Confusion, Mood swings",Adult,Any,Moderate,Neurologist
Appendicitis,Surgical Conditions,"Loss of appetite, Abdominal pain, Nausea",Elderly,Female,Severe,Surgeon
Flu,Common Illnesses,"Body aches, Cough",Child,Male,Moderate,General Physician
Alzheimer’s,Specialized Chronic Diseases,"Poor judgment, Memory loss, Confusion",Adult,Male,Severe,Neurologist
PCOS,Chronic Disorder,"Irregular periods, Acne, Weight gain",Child,Female,Moderate,Gynecologist
Stroke,Specialized Chronic Diseases,"Vision problems, Trouble walking, Numbness",Elderly,Male,Severe,Neurologist
Flu,Common Illnesses,"Body aches, Sore throat",Adult,Female,Moderate,General Physician
Asthma,Chronic Illness,"Shortness of breath, Wheezing",Child,Any,Severe,Pulmonologist
Eczema,Dermatological,"Itchy skin, Red patches, Dryness",Teen,Any,Moderate,Dermatologist
PCOS,Chronic Disorder,"Weight gain, Acne",Elderly,Female,Moderate,Gynecologist
PCOS,Chronic Disorder,"Acne, Irregular periods, Weight gain",Teen,Female,Severe,Gynecologist
Stroke,Specialized Chronic Diseases,"Vision problems, Trouble walking, Confusion",Child,Any,Mild,Neurologist
Eczema,Dermatological,"Red patches, Dryness, Itchy skin",Adult,Male,Mild,Dermatologist
Tuberculosis,Rare Diseases,"Cough, Night sweats",Child,Any,Moderate,Infectious Disease Specialist
Stroke,Specialized Chronic Diseases,"Vision problems, Numbness, Trouble walking",Child,Any,Mild,Neurologist
Stroke,Specialized Chronic Diseases,"Trouble walking, Confusion, Vision problems",Elderly,Female,Mild,Neurologist
Alzheimer’s,Specialized Chronic Diseases,"Confusion, Memory loss",Elderly,Any,Mild,Neurologist
Asthma,Chronic Illness,"Cough, Wheezing",Adult,Male,Severe,Pulmonologist
Asthma,Chronic Illness,"Chest tightness, Cough",Adult,Any,Mild,Pulmonologist
Heart Attack,Emergency Care,"Chest pain, Sweating, Nausea, Shortness of breath",Child,Female,Moderate,Cardiologist
Appendicitis,Surgical Conditions,"Vomiting, Nausea, Loss of appetite, Abdominal pain",Teen,Female,Moderate,Surgeon
Flu,Common Illnesses,"Body aches, Fever, Cough",Adult,Male,Severe,General Physician
Eczema,Dermatological,"Dryness, Itchy skin, Swelling",Adult,Any,Moderate,Dermatologist
Flu,Common Illnesses,"Body aches, Cough, Chills",Adult,Male,Moderate,General Physician
Diabetes,Chronic Illness,"Fatigue, Increased thirst, Blurred vision",Adult,Male,Severe,Endocrinologist
Appendicitis,Surgical Conditions,"Nausea, Abdominal pain",Adult,Any,Mild,Surgeon
Diabetes,Chronic Illness,"Blurred vision, Frequent urination",Adult,Female,Moderate,Endocrinologist
Tuberculosis,Rare Diseases,"Night sweats, Fatigue, Weight loss",Elderly,Male,Mild,Infectious Disease Specialist
Tuberculosis,Rare Diseases,"Weight loss, Night sweats, Cough, Fatigue",Adult,Male,Moderate,Infectious Disease Specialist
Diabetes,Chronic Illness,"Blurred vision, Fatigue",Adult,Male,Moderate,Endocrinologist
Heart Attack,Emergency Care,"Nausea, Sweating, Chest pain, Shortness of breath",Elderly,Female,Mild,Cardiologist
Appendicitis,Surgical Conditions,"Abdominal pain, Nausea",Child,Female,Moderate,Surgeon
Asthma,Chronic Illness,"Cough, Chest tightness, Shortness of breath",Adult,Male,Mild,Pulmonologist
Asthma,Chronic Illness,"Shortness of breath, Cough, Chest tightness",Adult,Male,Mild,Pulmonologist
Diabetes,Chronic Illness,"Fatigue, Blurred vision",Child,Any,Mild,Endocrinologist
Diabetes,Chronic Illness,"Fatigue, Frequent urination, Blurred vision",Child,Any,Moderate,Endocrinologist
PCOS,Chronic Disorder,"Hair thinning, Irregular periods, Weight gain",Teen,Male,Moderate,Gynecologist
Appendicitis,Surgical Conditions,"Abdominal pain, Loss of appetite",Teen,Male,Mild,Surgeon
Heart Attack,Emergency Care,"Sweating, Chest pain, Nausea",Adult,Male,Mild,Cardiologist
Flu,Common Illnesses,"Cough, Chills",Teen,Any,Severe,General Physician
Heart Attack,Emergency Care,"Sweating, Shortness of breath, Nausea",Elderly,Female,Moderate,Cardiologist
Eczema,Dermatological,"Itchy skin, Dryness, Red patches",Teen,Male,Severe,Dermatologist
PCOS,Chronic Disorder,"Hair thinning, Irregular periods",Elderly,Female,Moderate,Gynecologist
Asthma,Chronic Illness,"Chest tightness, Cough, Wheezing, Shortness of breath",Adult,Male,Moderate,Pulmonologist
Heart Attack,Emergency Care,"Nausea, Sweating",Teen,Female,Moderate,Cardiologist
Appendicitis,Surgical Conditions,"Abdominal pain, Nausea, Loss of appetite",Child,Female,Moderate,Surgeon
Heart Attack,Emergency Care,"Nausea, Chest pain, Shortness of breath",Adult,Male,Severe,Cardiologist
Heart Attack,Emergency Care,"Nausea, Sweating, Chest pain, Shortness of breath",Child,Male,Mild,Cardiologist
Flu,Common Illnesses,"Chills, Sore throat, Fever, Body aches",Adult,Male,Moderate,General Physician
Heart Attack,Emergency Care,"Shortness of breath, Sweating, Nausea, Chest pain",Elderly,Any,Moderate,Cardiologist
PCOS,Chronic Disorder,"Hair thinning, Weight gain, Acne, Irregular periods",Adult,Female,Severe,Gynecologist
Flu,Common Illnesses,"Body aches, Fever",Teen,Any,Severe,General Physician
Asthma,Chronic Illness,"Wheezing, Shortness of breath, Cough, Chest tightness",Teen,Any,Moderate,Pulmonologist
Heart Attack,Emergency Care,"Chest pain, Sweating, Nausea, Shortness of breath",Teen,Male,Moderate,Cardiologist
Diabetes,Chronic Illness,"Increased thirst, Fatigue",Elderly,Any,Severe,Endocrinologist
Flu,Common Illnesses,"Chills, Body aches",Adult,Any,Moderate,General Physician
Tuberculosis,Rare Diseases,"Night sweats, Cough, Fatigue, Weight loss",Adult,Male,Severe,Infectious Disease Specialist
PCOS,Chronic Disorder,"Hair thinning, Weight gain, Irregular periods, Acne",Teen,Any,Severe,Gynecologist
Flu,Common Illnesses,"Body aches, Cough, Chills",Elderly,Male,Moderate,General Physician
Heart Attack,Emergency Care,"Sweating, Shortness of breath, Nausea, Chest pain",Adult,Any,Moderate,Cardiologist
Asthma,Chronic Illness,"Chest tightness, Wheezing, Cough, Shortness of breath",Elderly,Male,Mild,Pulmonologist
Eczema,Dermatological,"Dryness, Red patches",Elderly,Any,Mild,Dermatologist
Asthma,Chronic Illness,"Cough, Shortness of breath, Wheezing",Adult,Female,Mild,Pulmonologist
PCOS,Chronic Disorder,"Irregular periods, Hair thinning",Elderly,Male,Moderate,Gynecologist
Tuberculosis,Rare Diseases,"Fatigue, Weight loss, Cough, Night sweats",Elderly,Male,Mild,Infectious Disease Specialist
Appendicitis,Surgical Conditions,"Abdominal pain, Nausea, Loss of appetite, Vomiting",Teen,Male,Moderate,Surgeon
Asthma,Chronic Illness,"Shortness of breath, Cough, Wheezing",Elderly,Any,Moderate,Pulmonologist
Appendicitis,Surgical Conditions,"Loss of appetite, Nausea, Abdominal pain",Elderly,Any,Severe,Surgeon
Appendicitis,Surgical Conditions,"Abdominal pain, Loss of appetite, Nausea",Teen,Male,Moderate,Surgeon
Diabetes,Chronic Illness,"Blurred vision, Increased thirst, Frequent urination, Fatigue",Child,Male,Severe,Endocrinologist
Appendicitis,Surgical Conditions,"Abdominal pain, Loss of appetite, Vomiting, Nausea",Teen,Female,Moderate,Surgeon
Eczema,Dermatological,"Itchy skin, Red patches",Teen,Male,Moderate,Dermatologist
Flu,Common Illnesses,"Chills, Body aches",Teen,Female,Severe,General Physician
Asthma,Chronic Illness,"Wheezing, Cough",Child,Any,Moderate,Pulmonologist
Diabetes,Chronic Illness,"Fatigue, Increased thirst, Blurred vision",Elderly,Female,Moderate,Endocrinologist
Heart Attack,Emergency Care,"Chest pain, Nausea, Shortness of breath",Elderly,Female,Moderate,Cardiologist
Tuberculosis,Rare Diseases,"Weight loss, Cough",Adult,Male,Mild,Infectious Disease Specialist
Tuberculosis,Rare Diseases,"Fatigue, Cough, Night sweats, Weight loss",Adult,Female,Mild,Infectious Disease Specialist
Heart Attack,Emergency Care,"Shortness of breath, Sweating, Nausea",Child,Any,Mild,Cardiologist
Asthma,Chronic Illness,"Wheezing, Cough, Shortness of breath",Child,Any,Mild,Pulmonologist
Flu,Common Illnesses,"Fever, Cough, Body aches",Elderly,Female,Mild,General Physician
Heart Attack,Emergency Care,"Sweating, Shortness of breath, Nausea",Elderly,Any,Moderate,Cardiologist
Eczema,Dermatological,"Swelling, Dryness, Red patches, Itchy skin",Adult,Female,Moderate,Dermatologist
Flu,Common Illnesses,"Chills, Sore throat, Body aches",Adult,Female,Mild,General Physician
Stroke,Specialized Chronic Diseases,"Confusion, Vision problems, Trouble walking, Numbness",Teen,Female,Mild,Neurologist
PCOS,Chronic Disorder,"Acne, Irregular periods",Teen,Any,Moderate,Gynecologist
Heart Attack,Emergency Care,"Chest pain, Sweating, Nausea",Adult,Male,Mild,Cardiologist
Alzheimer’s,Specialized Chronic Diseases,"Memory loss, Poor judgment",Adult,Male,Severe,Neurologist
Heart Attack,Emergency Care,"Nausea, Chest pain",Elderly,Female,Severe,Cardiologist
Stroke,Specialized Chronic Diseases,"Trouble walking, Vision problems, Numbness",Teen,Male,Mild,Neurologist
Asthma,Chronic Illness,"Cough, Shortness of breath",Elderly,Female,Mild,Pulmonologist
Stroke,Specialized Chronic Diseases,"Vision problems, Confusion, Trouble walking",Adult,Female,Moderate,Neurologist
Heart Attack,Emergency Care,"Chest pain, Sweating, Nausea",Teen,Male,Severe,Cardiologist
Asthma,Chronic Illness,"Wheezing, Shortness of breath, Cough",Teen,Male,Moderate,Pulmonologist
Heart Attack,Emergency Care,"Chest pain, Shortness of breath",Elderly,Male,Moderate,Cardiologist
Diabetes,Chronic Illness,"Frequent urination, Blurred vision, Fatigue",Elderly,Female,Moderate,Endocrinologist
Stroke,Specialized Chronic Diseases,"Numbness, Trouble walking, Confusion",Child,Male,Moderate,Neurologist
Diabetes,Chronic Illness,"Increased thirst, Blurred vision, Frequent urination, Fatigue",Child,Male,Severe,Endocrinologist
Appendicitis,Surgical Conditions,"Loss of appetite, Nausea, Abdominal pain",Adult,Any,Moderate,Surgeon
Diabetes,Chronic Illness,"Blurred vision, Increased thirst, Fatigue",Adult,Male,Moderate,Endocrinologist
Diabetes,Chronic Illness,"Blurred vision, Fatigue, Increased thirst",Adult,Female,Moderate,Endocrinologist
Tuberculosis,Rare Diseases,"Night sweats, Fatigue, Weight loss",Teen,Female,Mild,Infectious Disease Specialist
Diabetes,Chronic Illness,"Blurred vision, Fatigue, Frequent urination",Teen,Any,Moderate,Endocrinologist
Asthma,Chronic Illness,"Shortness of breath, Cough, Chest tightness, Wheezing",Child,Any,Mild,Pulmonologist
PCOS,Chronic Disorder,"Hair thinning, Weight gain, Acne",Child,Male,Severe,Gynecologist
Diabetes,Chronic Illness,"Increased thirst, Fatigue, Blurred vision, Frequent urination",Elderly,Female,Moderate,Endocrinologist
Heart Attack,Emergency Care,"Sweating, Shortness of breath",Adult,Female,Moderate,Cardiologist
Tuberculosis,Rare Diseases,"Cough, Night sweats, Fatigue",Adult,Male,Moderate,Infectious Disease Specialist
Tuberculosis,Rare Diseases,"Fatigue, Cough",Child,Female,Severe,Infectious Disease Specialist
Eczema,Dermatological,"Red patches, Itchy skin, Swelling, Dryness",Adult,Any,Moderate,Dermatologist
Tuberculosis,Rare Diseases,"Fatigue, Weight loss",Teen,Any,Moderate,Infectious Disease Specialist
Tuberculosis,Rare Diseases,"Night sweats, Fatigue, Weight loss, Cough",Teen,Female,Moderate,Infectious Disease Specialist
Alzheimer’s,Specialized Chronic Diseases,"Poor judgment, Mood swings, Memory loss",Teen,Male,Mild,Neurologist
Stroke,Specialized Chronic Diseases,"Trouble walking, Vision problems, Confusion, Numbness",Elderly,Male,Mild,Neurologist
Tuberculosis,Rare Diseases,"Night sweats, Cough, Fatigue",Adult,Any,Moderate,Infectious Disease Specialist
Tuberculosis,Rare Diseases,"Fatigue, Night sweats, Cough",Teen,Male,Mild,Infectious Disease Specialist
Stroke,Specialized Chronic Diseases,"Confusion, Trouble walking",Teen,Male,Mild,Neurologist
Asthma,Chronic Illness,"Shortness of breath, Cough, Wheezing, Chest tightness",Elderly,Female,Moderate,Pulmonologist
Eczema,Dermatological,"Itchy skin, Dryness, Swelling, Red patches",Teen,Female,Mild,Dermatologist
Appendicitis,Surgical Conditions,"Loss of appetite, Vomiting, Nausea",Elderly,Any,Severe,Surgeon
Flu,Common Illnesses,"Body aches, Chills, Sore throat, Fever",Teen,Any,Moderate,General Physician
Tuberculosis,Rare Diseases,"Night sweats, Fatigue",Teen,Male,Moderate,Infectious Disease Specialist
Eczema,Dermatological,"Dryness, Red patches",Teen,Male,Moderate,Dermatologist
Appendicitis,Surgical Conditions,"Nausea, Vomiting, Loss of appetite, Abdominal pain",Child,Female,Moderate,Surgeon
Tuberculosis,Rare Diseases,"Weight loss, Cough, Night sweats",Child,Female,Moderate,Infectious Disease Specialist
Alzheimer’s,Specialized Chronic Diseases,"Mood swings, Poor judgment, Confusion, Memory loss",Adult,Female,Moderate,Neurologist
Flu,Common Illnesses,"Fever, Cough",Elderly,Female,Mild,General Physician
Appendicitis,Surgical Conditions,"Abdominal pain, Vomiting, Loss of appetite",Teen,Male,Severe,Surgeon
Flu,Common Illnesses,"Body aches, Chills",Adult,Female,Mild,General Physician
Heart Attack,Emergency Care,"Shortness of breath, Chest pain",Adult,Any,Severe,Cardiologist
Eczema,Dermatological,"Itchy skin, Dryness",Teen,Male,Moderate,Dermatologist
Heart Attack,Emergency Care,"Chest pain, Sweating, Shortness of breath, Nausea",Child,Any,Moderate,Cardiologist
Eczema,Dermatological,"Swelling, Dryness",Child,Any,Mild,Dermatologist
Flu,Common Illnesses,"Cough, Body aches, Fever",Elderly,Male,Moderate,General Physician
Asthma,Chronic Illness,"Shortness of breath, Wheezing, Cough, Chest tightness",Child,Male,Moderate,Pulmonologist
Alzheimer’s,Specialized Chronic Diseases,"Confusion, Memory loss",Elderly,Female,Moderate,Neurologist
Heart Attack,Emergency Care,"Chest pain, Nausea, Sweating, Shortness of breath",Elderly,Male,Mild,Cardiologist
Tuberculosis,Rare Diseases,"Weight loss, Night sweats",Adult,Any,Mild,Infectious Disease Specialist
Asthma,Chronic Illness,"Chest tightness, Shortness of breath, Wheezing",Elderly,Female,Mild,Pulmonologist
Heart Attack,Emergency Care,"Chest pain, Nausea, Shortness of breath, Sweating",Adult,Any,Severe,Cardiologist
Asthma,Chronic Illness,"Wheezing, Shortness of breath, Chest tightness, Cough",Child,Male,Moderate,Pulmonologist
Flu,Common Illnesses,"Chills, Sore throat, Cough",Adult,Any,Severe,General Physician
Alzheimer’s,Specialized Chronic Diseases,"Memory loss, Mood swings, Confusion",Adult,Male,Moderate,Neurologist
Diabetes,Chronic Illness,"Blurred vision, Frequent urination",Child,Female,Moderate,Endocrinologist
Eczema,Dermatological,"Dryness, Swelling",Elderly,Male,Moderate,Dermatologist
Asthma,Chronic Illness,"Cough, Shortness of breath",Adult,Female,Mild,Pulmonologist
Eczema,Dermatological,"Itchy skin, Dryness, Red patches",Child,Male,Moderate,Dermatologist
Diabetes,Chronic Illness,"Increased thirst, Fatigue, Blurred vision",Teen,Male,Moderate,Endocrinologist
Stroke,Specialized Chronic Diseases,"Confusion, Vision problems",Elderly,Any,Mild,Neurologist
Alzheimer’s,Specialized Chronic Diseases,"Confusion, Mood swings",Elderly,Female,Severe,Neurologist
Stroke,Specialized Chronic Diseases,"Trouble walking, Numbness, Vision problems",Elderly,Any,Mild,Neurologist
Appendicitis,Surgical Conditions,"Loss of appetite, Vomiting",Elderly,Male,Moderate,Surgeon
Eczema,Dermatological,"Itchy skin, Swelling, Red patches, Dryness",Child,Male,Severe,Dermatologist
Heart Attack,Emergency Care,"Chest pain, Sweating",Child,Any,Moderate,Cardiologist
Appendicitis,Surgical Conditions,"Nausea, Abdominal pain, Vomiting, Loss of appetite",Teen,Any,Moderate,Surgeon
PCOS,Chronic Disorder,"Weight gain, Irregular periods, Hair thinning",Teen,Male,Severe,Gynecologist
Flu,Common Illnesses,"Body aches, Cough, Sore throat, Chills",Teen,Female,Moderate,General Physician
Flu,Common Illnesses,"Fever, Body aches",Child,Female,Moderate,General Physician
Appendicitis,Surgical Conditions,"Nausea, Loss of appetite, Abdominal pain, Vomiting",Child,Any,Mild,Surgeon
Stroke,Specialized Chronic Diseases,"Trouble walking, Numbness, Vision problems, Confusion",Elderly,Any,Severe,Neurologist
Heart Attack,Emergency Care,"Shortness of breath, Chest pain, Nausea",Adult,Any,Severe,Cardiologist
Eczema,Dermatological,"Dryness, Swelling, Red patches, Itchy skin",Adult,Female,Severe,Dermatologist
Stroke,Specialized Chronic Diseases,"Confusion, Trouble walking, Vision problems, Numbness",Child,Any,Mild,Neurologist
Alzheimer’s,Specialized Chronic Diseases,"Memory loss, Poor judgment",Adult,Any,Severe,Neurologist
Appendicitis,Surgical Conditions,"Vomiting, Nausea, Loss of appetite, Abdominal pain",Adult,Male,Severe,Surgeon
Eczema,Dermatological,"Red patches, Itchy skin, Dryness, Swelling",Elderly,Any,Moderate,Dermatologist
Diabetes,Chronic Illness,"Fatigue, Blurred vision, Increased thirst, Frequent urination",Elderly,Any,Moderate,Endocrinologist
Flu,Common Illnesses,"Cough, Fever, Chills",Elderly,Any,Mild,General Physician
PCOS,Chronic Disorder,"Irregular periods, Hair thinning, Weight gain",Elderly,Female,Severe,Gynecologist
Asthma,Chronic Illness,"Wheezing, Chest tightness, Cough",Adult,Female,Moderate,Pulmonologist
Diabetes,Chronic Illness,"Blurred vision, Frequent urination",Child,Any,Severe,Endocrinologist
Tuberculosis,Rare Diseases,"Weight loss, Fatigue, Cough",Teen,Any,Severe,Infectious Disease Specialist
Appendicitis,Surgical Conditions,"Vomiting, Abdominal pain",Teen,Any,Moderate,Surgeon
Eczema,Dermatological,"Swelling, Dryness, Itchy skin",Elderly,Male,Moderate,Dermatologist
Flu,Common Illnesses,"Body aches, Cough",Adult,Male,Moderate,General Physician
PCOS,Chronic Disorder,"Weight gain, Irregular periods, Hair thinning",Adult,Male,Moderate,Gynecologist
Eczema,Dermatological,"Dryness, Itchy skin, Red patches",Teen,Female,Moderate,Dermatologist
Eczema,Dermatological,"Swelling, Dryness, Red patches",Teen,Male,Severe,Dermatologist
PCOS,Chronic Disorder,"Hair thinning, Weight gain, Irregular periods, Acne",Elderly,Female,Moderate,Gynecologist
Eczema,Dermatological,"Red patches, Swelling, Dryness, Itchy skin",Adult,Male,Moderate,Dermatologist
Asthma,Chronic Illness,"Chest tightness, Wheezing, Cough",Teen,Male,Moderate,Pulmonologist
Flu,Common Illnesses,"Sore throat, Fever, Chills",Adult,Male,Mild,General Physician
Flu,Common Illnesses,"Fever, Chills, Body aches, Sore throat",Child,Female,Severe,General Physician
Asthma,Chronic Illness,"Wheezing, Shortness of breath, Cough",Teen,Male,Mild,Pulmonologist
PCOS,Chronic Disorder,"Acne, Weight gain",Teen,Any,Moderate,Gynecologist
Appendicitis,Surgical Conditions,"Nausea, Abdominal pain, Loss of appetite, Vomiting",Elderly,Any,Severe,Surgeon
PCOS,Chronic Disorder,"Irregular periods, Weight gain",Child,Female,Mild,Gynecologist
PCOS,Chronic Disorder,"Hair thinning, Acne",Teen,Female,Moderate,Gynecologist
Diabetes,Chronic Illness,"Increased thirst, Frequent urination",Adult,Any,Mild,Endocrinologist
Tuberculosis,Rare Diseases,"Night sweats, Cough",Elderly,Male,Mild,Infectious Disease Specialist
Asthma,Chronic Illness,"Shortness of breath, Chest tightness, Wheezing, Cough",Adult,Male,Mild,Pulmonologist
Tuberculosis,Rare Diseases,"Fatigue, Weight loss, Night sweats, Cough",Child,Any,Mild,Infectious Disease Specialist
Diabetes,Chronic Illness,"Fatigue, Increased thirst, Frequent urination, Blurred vision",Child,Any,Moderate,Endocrinologist
PCOS,Chronic Disorder,"Irregular periods, Weight gain, Hair thinning",Teen,Female,Moderate,Gynecologist
Alzheimer’s,Specialized Chronic Diseases,"Poor judgment, Confusion, Mood swings",Elderly,Female,Severe,Neurologist
Diabetes,Chronic Illness,"Fatigue, Frequent urination, Increased thirst, Blurred vision",Adult,Female,Moderate,Endocrinologist
Appendicitis,Surgical Conditions,"Vomiting, Nausea, Abdominal pain, Loss of appetite",Adult,Any,Mild,Surgeon
Tuberculosis,Rare Diseases,"Cough, Fatigue, Weight loss",Teen,Female,Moderate,Infectious Disease Specialist
Diabetes,Chronic Illness,"Blurred vision, Increased thirst, Frequent urination, Fatigue",Child,Female,Severe,Endocrinologist
Alzheimer’s,Specialized Chronic Diseases,"Poor judgment, Confusion, Memory loss, Mood swings",Adult,Male,Moderate,Neurologist
Tuberculosis,Rare Diseases,"Night sweats, Fatigue",Adult,Female,Moderate,Infectious Disease Specialist
PCOS,Chronic Disorder,"Weight gain, Irregular periods, Acne",Child,Any,Moderate,Gynecologist
Heart Attack,Emergency Care,"Shortness of breath, Nausea",Elderly,Male,Severe,Cardiologist
Stroke,Specialized Chronic Diseases,"Numbness, Confusion, Trouble walking",Child,Any,Mild,Neurologist
PCOS,Chronic Disorder,"Hair thinning, Acne",Teen,Any,Mild,Gynecologist
Tuberculosis,Rare Diseases,"Cough, Night sweats",Child,Female,Severe,Infectious Disease Specialist
Flu,Common Illnesses,"Sore throat, Cough, Chills, Fever",Elderly,Female,Moderate,General Physician
Flu,Common Illnesses,"Sore throat, Chills",Adult,Any,Severe,General Physician
Stroke,Specialized Chronic Diseases,"Vision problems, Confusion",Elderly,Male,Moderate,Neurologist
Appendicitis,Surgical Conditions,"Loss of appetite, Nausea, Vomiting",Teen,Any,Moderate,Surgeon
Appendicitis,Surgical Conditions,"Abdominal pain, Loss of appetite",Elderly,Any,Mild,Surgeon
Flu,Common Illnesses,"Body aches, Sore throat, Cough",Adult,Male,Moderate,General Physician
Eczema,Dermatological,"Dryness, Itchy skin, Red patches, Swelling",Adult,Male,Moderate,Dermatologist
Heart Attack,Emergency Care,"Sweating, Nausea, Chest pain, Shortness of breath",Elderly,Any,Severe,Cardiologist
Appendicitis,Surgical Conditions,"Loss of appetite, Nausea, Vomiting, Abdominal pain",Adult,Female,Severe,Surgeon
Flu,Common Illnesses,"Sore throat, Body aches, Chills, Fever",Adult,Female,Moderate,General Physician
Tuberculosis,Rare Diseases,"Weight loss, Cough, Fatigue",Teen,Any,Severe,Infectious Disease Specialist
Stroke,Specialized Chronic Diseases,"Confusion, Vision problems",Teen,Any,Severe,Neurologist
Diabetes,Chronic Illness,"Fatigue, Increased thirst",Adult,Male,Mild,Endocrinologist
Alzheimer’s,Specialized Chronic Diseases,"Poor judgment, Memory loss, Mood swings",Child,Female,Severe,Neurologist
Asthma,Chronic Illness,"Wheezing, Cough",Child,Male,Severe,Pulmonologist
Heart Attack,Emergency Care,"Chest pain, Shortness of breath, Nausea, Sweating",Child,Male,Mild,Cardiologist
Eczema,Dermatological,"Dryness, Itchy skin, Red patches, Swelling",Teen,Female,Moderate,Dermatologist
Diabetes,Chronic Illness,"Blurred vision, Frequent urination",Teen,Any,Moderate,Endocrinologist
Eczema,Dermatological,"Swelling, Red patches, Itchy skin, Dryness",Teen,Female,Mild,Dermatologist
Tuberculosis,Rare Diseases,"Fatigue, Cough, Weight loss",Child,Any,Moderate,Infectious Disease Specialist
Alzheimer’s,Specialized Chronic Diseases,"Poor judgment, Memory loss, Mood swings",Adult,Female,Moderate,Neurologist
Stroke,Specialized Chronic Diseases,"Numbness, Trouble walking, Vision problems",Teen,Male,Moderate,Neurologist
Stroke,Specialized Chronic Diseases,"Vision problems, Trouble walking",Elderly,Male,Moderate,Neurologist
Diabetes,Chronic Illness,"Fatigue, Increased thirst",Child,Male,Severe,Endocrinologist
